Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Amlodipine Besylate ,Amlodipine Besylate ,Legacy Pharmace ,  ,  ,  ,  ,  ,  ,  ,"$8,763,193.40 ","52,167,020","1,030,521","337,812",$0.17 ,$8.50 ,$25.94 ,"$13,023,140.59 ","95,327,255","1,850,183","444,216",$0.14 ,$7.04 ,$29.32 ,"$9,143,332.08 ","78,958,857","1,650,898","403,631",$0.12 ,$5.54 ,$22.65 ,"$8,342,828.49 ","77,773,902","1,566,474","435,905",$0.11 ,$5.33 ,$19.14 ,-7.40%,-13.91%
Amlodipine Besylate ,Amlodipine Besylate ,Lupin Pharmaceu ,"$48,553,608.36 ","230,582,197","4,311,201","1,014,546",$0.21 ,$11.26 ,$47.86 ,"$58,969,730.04 ","307,942,378","5,310,503","1,318,093",$0.19 ,$11.10 ,$44.74 ,"$55,606,384.44 ","357,299,835","5,868,922","1,450,277",$0.16 ,$9.47 ,$38.34 ,"$44,823,009.81 ","373,964,404","5,956,287","1,489,676",$0.12 ,$7.53 ,$30.09 ,"$46,557,769.06 ","410,086,122","6,261,629","1,615,727",$0.11 ,$7.44 ,$28.82 ,-5.23%,-14.29%
Amlodipine Besylate ,Amlodipine Besylate ,Macleods Pharma ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$84,463.91 ","667,874","16,431","8,958",$0.13 ,$5.14 ,$9.43 ,"$76,474.59 ","674,854","17,026","8,323",$0.11 ,$4.49 ,$9.19 ,-10.34%,-10.34%
Amlodipine Besylate ,Amlodipine Besylate ,Major Pharmaceu ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$41,305.57 ","143,685","5,547","1,175",$0.29 ,$7.45 ,$35.15 ,"$82,085.59 ","289,935","12,442","2,073",$0.28 ,$6.60 ,$39.60 ,"$80,346.45 ","338,004","14,589","2,507",$0.24 ,$5.51 ,$32.05 ,-15.19%,-8.76%
Amlodipine Besylate ,Amlodipine Besylate ,Mckesson Packag ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,$95.07 ,554,20,12,$0.17 ,$4.75 ,$7.92 ,"$8,989.07 ","31,735","1,841",342,$0.28 ,$4.88 ,$26.28 ,"$20,741.84 ","83,132","4,174",820,$0.25 ,$4.97 ,$25.29 ,-11.91%,20.58%
Amlodipine Besylate ,Amlodipine Besylate ,Mylan ,"$20,265,477.46 ","48,060,752","1,450,467","264,952",$0.42 ,$13.97 ,$76.49 ,"$18,290,368.70 ","39,472,140","1,243,188","235,129",$0.46 ,$14.71 ,$77.79 ,"$16,609,573.19 ","37,737,299","1,183,609","220,877",$0.44 ,$14.03 ,$75.20 ,"$29,039,843.67 ","171,135,289","3,608,461","1,140,977",$0.17 ,$8.05 ,$25.45 ,"$37,682,710.13 ","324,666,264","6,335,193","1,599,944",$0.12 ,$5.95 ,$23.55 ,-31.55%,-27.59%
Amlodipine Besylate ,Amlodipine Besylate ,Mylan Instituti ,"$9,751,360.60 ","56,636,995","1,220,292","292,426",$0.17 ,$7.99 ,$33.35 ,"$7,275,720.80 ","42,472,850","876,264","297,534",$0.17 ,$8.30 ,$24.45 ,"$8,412,141.79 ","61,502,677","1,189,871","319,389",$0.14 ,$7.07 ,$26.34 ,"$3,508,461.23 ","30,701,417","583,608","258,725",$0.11 ,$6.01 ,$13.56 ,"$106,003.01 ","544,318","19,250","5,115",$0.19 ,$5.51 ,$20.72 ,69.68%,2.90%
Amlodipine Besylate ,Amlodipine Besylate ,Qualitest ,"$10,200,169.88 ","44,799,472","1,182,523","280,302",$0.23 ,$8.63 ,$36.39 ,"$22,698,359.05 ","118,057,866","2,455,377","770,053",$0.19 ,$9.24 ,$29.48 ,"$28,686,037.52 ","183,947,666","3,239,496","892,185",$0.16 ,$8.86 ,$32.15 ,"$26,914,999.70 ","200,648,688","3,352,393","999,535",$0.13 ,$8.03 ,$26.93 ,"$18,470,350.91 ","160,589,306","3,046,134","1,004,600",$0.12 ,$6.06 ,$18.39 ,-14.22%,-15.73%
Amlodipine Besylate ,Amlodipine Besylate ,Roxane/West-War ,"$401,234.51 ","1,745,782","46,067","18,208",$0.23 ,$8.71 ,$22.04 ,"$2,103,125.09 ","12,731,451","269,948","97,984",$0.17 ,$7.79 ,$21.46 ,"$5,351,944.67 ","39,620,304","809,152","239,934",$0.13 ,$6.61 ,$22.31 ,"$4,378,859.88 ","54,193,812","1,179,466","263,932",$0.08 ,$3.71 ,$16.59 ,"$2,506,484.34 ","45,078,862","890,368","257,857",$0.06 ,$2.82 ,$9.72 ,-30.75%,-29.79%
Amlodipine Besylate ,Amlodipine Besylate ,Teva USA ,"$12,050,268.69 ","56,063,916","1,294,607","302,282",$0.22 ,$9.31 ,$39.86 ,"$18,086,581.15 ","88,765,803","1,985,722","380,356",$0.20 ,$9.11 ,$47.55 ,"$10,595,424.90 ","69,902,307","1,297,458","464,786",$0.15 ,$8.17 ,$22.80 ,"$7,428,597.89 ","57,315,239","750,080","265,513",$0.13 ,$9.90 ,$27.98 ,"$4,037,080.52 ","33,610,606","644,834","172,064",$0.12 ,$6.26 ,$23.46 ,-6.56%,-13.50%
Amlodipine Besylate ,Amlodipine Besylate ,Unichem Pharmac ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$481,468.74 ","3,280,476","72,135","45,021",$0.15 ,$6.67 ,$10.69 ,"$3,752,723.74 ","30,480,023","692,916","220,172",$0.12 ,$5.42 ,$17.04 ,"$21,910,351.05 ","169,185,704","2,454,655","896,147",$0.13 ,$8.93 ,$24.45 ,5.23%,-6.13%
Amlodipine Besylate ,Amlodipine Besylate ,"West-Ward, Inc. ","$58,213.72 ","263,756","7,422","4,289",$0.22 ,$7.84 ,$13.57 ,"$940,577.07 ","6,349,809","123,326","37,445",$0.15 ,$7.63 ,$25.12 ,"$1,602,343.94 ","13,975,298","299,802","86,719",$0.11 ,$5.34 ,$18.48 ,"$1,582,822.83 ","17,587,473","400,074","105,486",$0.09 ,$3.96 ,$15.01 ,"$1,418,710.60 ","12,149,001","240,331","60,737",$0.12 ,$5.90 ,$23.36 ,29.76%,-14.71%
Amlodipine Besylate ,Amlodipine Besylate ,Wockhardt USA L ,"$3,944,802.43 ","32,279,841","356,894","122,017",$0.12 ,$11.05 ,$32.33 ,"$6,372,608.83 ","42,605,529","681,395","261,467",$0.15 ,$9.35 ,$24.37 ,"$226,919.90 ","1,412,749","36,086","11,973",$0.16 ,$6.29 ,$18.95 ,"$33,811.41 ","296,960","7,496","2,386",$0.11 ,$4.51 ,$14.17 ,"$3,243.47 ","37,875",944,351,$0.09 ,$3.44 ,$9.24 ,-24.79%,-8.51%
Amlodipine Besylate ,Amlodipine Besylate ,Zydus Pharmaceu ,"$22,261,663.84 ","108,125,452","2,621,325","547,473",$0.21 ,$8.49 ,$40.66 ,"$21,117,374.59 ","115,801,945","2,657,393","665,830",$0.18 ,$7.95 ,$31.72 ,"$25,362,164.34 ","173,193,146","3,459,151","977,291",$0.15 ,$7.33 ,$25.95 ,"$15,230,469.20 ","127,021,570","2,693,803","817,966",$0.12 ,$5.65 ,$18.62 ,"$7,338,966.60 ","54,007,242","1,295,824","331,067",$0.14 ,$5.66 ,$22.17 ,13.42%,-9.88%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Actavis Pharma ,"$6,914,960.82 ","3,933,042","83,498","26,819",$1.75 ,$82.82 ,$257.84 ,"$6,836,825.10 ","5,992,704","104,850","34,611",$1.14 ,$65.21 ,$197.53 ,"$6,053,260.40 ","7,101,098","113,427","33,900",$0.86 ,$53.37 ,$178.56 ,"$2,933,110.90 ","4,662,699","80,004","27,937",$0.63 ,$36.66 ,$104.99 ,"$1,605,521.85 ","2,866,893","59,603","16,215",$0.56 ,$26.94 ,$99.01 ,-11.40%,-24.66%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Aurobindo Pharm ,"$1,026.19 ",645,17,16,$1.52 ,$60.36 ,$64.14 ,"$7,822,818.41 ","5,390,717","88,726","42,406",$1.44 ,$88.17 ,$184.47 ,"$15,966,368.27 ","13,753,146","270,513","68,513",$1.15 ,$59.02 ,$233.04 ,"$10,656,784.11 ","14,780,488","289,292","73,427",$0.72 ,$36.84 ,$145.13 ,"$13,881,208.67 ","24,261,442","422,728","111,874",$0.57 ,$32.84 ,$124.08 ,-20.74%,-21.66%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Bluepoint Labor ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,053,499.54 ","2,133,409","47,783","15,042",$0.97 ,$42.98 ,$136.52 ,"$3,088,947.93 ","4,504,060","94,902","21,559",$0.69 ,$32.55 ,$143.28 ,"$2,711,649.22 ","4,503,870","93,373","20,123",$0.60 ,$29.04 ,$134.75 ,-12.36%,-21.06%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Dr.Reddy'S Lab ,"$38,024,614.80 ","22,304,898","453,956","103,628",$1.71 ,$83.76 ,$366.93 ,"$43,534,144.67 ","31,250,363","571,856","150,949",$1.40 ,$76.13 ,$288.40 ,"$39,493,160.86 ","38,775,756","654,697","165,985",$1.03 ,$60.32 ,$237.93 ,"$22,170,491.72 ","31,725,694","508,650","128,449",$0.70 ,$43.59 ,$172.60 ,"$12,461,870.26 ","22,019,781","317,855","86,101",$0.57 ,$39.21 ,$144.74 ,-19.02%,-24.06%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Lupin Pharmaceu ,"$47,879,865.18 ","27,604,178","592,828","129,631",$1.74 ,$80.77 ,$369.36 ,"$49,403,773.01 ","32,278,567","644,049","145,829",$1.53 ,$76.71 ,$338.78 ,"$39,281,086.99 ","33,309,705","617,757","138,828",$1.18 ,$63.59 ,$282.95 ,"$25,259,624.29 ","31,613,461","549,397","128,941",$0.80 ,$45.98 ,$195.90 ,"$18,872,536.47 ","29,194,050","480,589","113,082",$0.65 ,$39.27 ,$166.89 ,-19.19%,-21.92%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Mylan ,"$5,709,727.39 ","3,359,612","75,442","21,793",$1.70 ,$75.68 ,$262.00 ,"$3,517,117.58 ","2,338,159","51,980","19,963",$1.50 ,$67.66 ,$176.18 ,"$371,539.11 ","332,000","8,178","2,288",$1.12 ,$45.43 ,$162.39 ,"$3,095,428.47 ","4,214,399","82,283","34,052",$0.74 ,$37.62 ,$90.90 ,"$5,969,299.36 ","9,674,875","184,784","47,470",$0.62 ,$32.30 ,$125.75 ,-16.25%,-22.38%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Par Pharm. ,"$3,841,915.78 ","1,604,901","33,573","11,041",$2.39 ,$114.43 ,$347.97 ,"$2,777,939.73 ","1,448,321","26,312","8,234",$1.92 ,$105.58 ,$337.37 ,"$287,370.21 ","203,898","5,609","1,419",$1.41 ,$51.23 ,$202.52 ,"$28,028.45 ","33,173",898,244,$0.84 ,$31.21 ,$114.87 ,"$1,630.36 ","2,941",78,29,$0.55 ,$20.90 ,$56.22 ,-34.39%,-30.63%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Sandoz ,"$47,461,686.71 ","25,936,587","631,740","154,313",$1.83 ,$75.13 ,$307.57 ,"$19,694,112.44 ","13,024,445","343,853","76,347",$1.51 ,$57.27 ,$257.96 ,"$6,962,116.78 ","5,964,983","156,035","34,878",$1.17 ,$44.62 ,$199.61 ,"$2,870,718.95 ","3,860,739","97,953","22,585",$0.74 ,$29.31 ,$127.11 ,"$1,527,791.79 ","2,536,607","60,480","14,580",$0.60 ,$25.26 ,$104.79 ,-18.96%,-24.25%
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,Teva USA ,"$59,996,883.61 ","36,388,235","838,246","163,465",$1.66 ,$71.57 ,$367.03 ,"$55,657,480.58 ","41,058,297","875,669","163,260",$1.36 ,$63.56 ,$340.91 ,"$36,428,729.36 ","35,607,500","708,324","152,076",$1.03 ,$51.43 ,$239.54 ,"$25,925,322.66 ","34,112,686","613,166","136,694",$0.76 ,$42.28 ,$189.66 ,"$19,853,935.02 ","32,577,413","550,817","127,424",$0.61 ,$36.04 ,$155.81 ,-20.11%,-22.16%
Amlodipine-Atorvastatin ,Amlodipine/Atorvastatin ,Dr.Reddy'S Lab ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$5,018,030.96 ","912,396","14,658","5,665",$5.52 ,$342.34 ,$885.80 ,"$13,576,603.64 ","2,752,966","45,135","13,575",$4.94 ,$300.80 ,"$1,000.12 ","$21,204,181.75 ","4,720,844","70,165","20,560",$4.48 ,$302.20 ,"$1,031.33 ",-9.21%,-9.88%
Amlodipine-Atorvastatin ,Amlodipine/Atorvastatin ,Greenstone LLC. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,936,415.27 ","516,130","10,613","3,885",$5.69 ,$276.68 ,$755.83 ,"$9,184,773.09 ","1,790,080","33,771","10,250",$5.12 ,$271.97 ,$896.08 ,"$11,585,747.40 ","2,461,895","43,589","12,662",$4.70 ,$265.80 ,$915.00 ,-8.30%,-9.14%
Amlodipine-Atorvastatin ,Amlodipine/Atorvastatin ,Mylan ,  ,  ,  ,  ,  ,  ,  ,"$1,274,961.33 ","301,672","6,416","2,048",$4.23 ,$198.72 ,$622.54 ,"$7,170,971.07 ","1,371,426","23,830","8,864",$5.22 ,$300.92 ,$809.00 ,"$10,359,918.06 ","2,099,336","28,362","8,902",$4.96 ,$365.27 ,"$1,163.77 ","$2,562,969.70 ","608,214","8,805","4,794",$4.26 ,$291.08 ,$534.62 ,-14.10%,0.28%
Amlodipine-Atorvastatin ,Amlodipine/Atorvastatin ,Ranbaxy/Sun Pha ,"$15,430,281.91 ","3,318,181","71,007","15,692",$4.66 ,$217.31 ,$983.32 ,"$22,043,309.15 ","4,622,045","87,661","19,961",$4.78 ,$251.46 ,"$1,104.32 ","$21,509,775.72 ","3,869,274","68,521","19,806",$5.56 ,$313.92 ,"$1,086.02 ","$5,558,370.22 ","1,060,972","20,458","8,593",$5.24 ,$271.70 ,$646.85 ,"$720,949.02 ","146,016","3,186","1,192",$4.96 ,$226.29 ,$604.82 ,-5.22%,1.58%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Gavis/Lupin ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$111,889.37 ","44,887","1,141",392,$2.49 ,$98.06 ,$285.43 ,"$124,781.39 ","76,742","1,850",618,$1.63 ,$67.45 ,$201.91 ,-34.67%,-34.67%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Lupin Pharmaceu ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,652,138.02 ","852,232","11,864","4,657",$3.11 ,$223.55 ,$569.49 ,"$2,252,238.70 ","1,449,135","22,376","6,953",$1.56 ,$100.65 ,$323.92 ,-50.03%,-50.03%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Mylan ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,945,283.52 ","1,765,324","41,735","12,530",$2.24 ,$94.53 ,$314.87 ,"$5,435,947.53 ","3,734,865","82,267","20,137",$1.46 ,$66.08 ,$269.95 ,-34.88%,-34.88%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Par Pharm. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$15,501,160.47 ","3,098,671","64,877","40,476",$5.02 ,$238.93 ,$382.97 ,"$36,412,093.66 ","10,368,373","217,738","63,216",$3.52 ,$167.23 ,$575.99 ,"$10,484,473.17 ","6,923,936","129,128","32,808",$1.52 ,$81.19 ,$319.57 ,-56.88%,-45.02%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Sandoz ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$347,084.18 ","272,306","7,248","2,226",$1.28 ,$47.89 ,$155.92 ,"$718,356.24 ","649,040","16,572","4,557",$1.11 ,$43.35 ,$157.64 ,-13.07%,-13.07%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Teva USA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$8,583,619.00 ","3,985,836","66,997","22,651",$2.16 ,$128.12 ,$378.95 ,"$10,777,559.54 ","7,121,949","119,545","30,736",$1.52 ,$90.15 ,$350.65 ,-29.67%,-29.67%
Amlodipine-Valsartan ,Amlodipine/Valsartan ,Torrent Pharmac ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,228,168.13 ","962,249","22,392","6,645",$2.32 ,$99.51 ,$335.31 ,"$2,140,903.76 ","1,523,158","32,076","8,336",$1.41 ,$66.74 ,$256.83 ,-39.23%,-39.23%
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,Lupin Pharmaceu ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,415,407.00 ","844,690","16,341","7,307",$4.04 ,$209.01 ,$467.42 ,"$10,116,082.27 ","2,729,817","48,978","12,202",$3.71 ,$206.54 ,$829.05 ,-8.11%,-8.11%
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,Par Pharm. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$984,066.17 ","284,400","5,256","2,405",$3.52 ,$187.23 ,$409.18 ,"$2,693,844.94 ","812,201","14,589","3,714",$3.33 ,$184.65 ,$725.32 ,-5.27%,-5.27%
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,Sandoz ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$245,613.59 ","45,920","1,038","1,033",$5.36 ,$236.62 ,$237.77 ,"$6,284,567.42 ","1,368,658","29,882","11,211",$4.60 ,$210.31 ,$560.57 ,"$4,408,512.85 ","1,182,128","24,000","6,322",$3.72 ,$183.69 ,$697.33 ,-19.13%,-16.72%
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,Teva USA ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$808,018.76 ","156,885","3,120","3,092",$5.18 ,$258.98 ,$261.33 ,"$12,113,224.20 ","2,647,833","53,324","17,150",$4.59 ,$227.16 ,$706.31 ,"$5,200,021.97 ","1,458,861","29,617","8,888",$3.59 ,$175.58 ,$585.06 ,-21.69%,-16.69%
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,Torrent Pharmac ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$915,030.29 ","250,575","6,038","2,325",$3.66 ,$151.55 ,$393.56 ,"$1,973,170.22 ","581,159","13,364","3,422",$3.40 ,$147.65 ,$576.61 ,-6.98%,-6.98%
Ammonium Lactate ,Ammonium Lactate ,Actavis Pharma ,"$352,107.16 ","5,060,289","16,547","11,554",$0.07 ,$21.28 ,$30.47 ,"$1,485,348.89 ","21,430,281","70,583","38,328",$0.07 ,$21.04 ,$38.75 ,"$1,723,966.45 ","24,035,444","79,573","34,380",$0.07 ,$21.67 ,$50.14 ,"$1,193,440.29 ","17,184,035","56,423","23,764",$0.07 ,$21.15 ,$50.22 ,"$274,775.18 ","3,776,680","12,866","5,212",$0.07 ,$21.36 ,$52.72 ,4.29%,1.04%
Ammonium Lactate ,Ammonium Lactate ,Perrigo Co. ,"$11,392,016.33 ","161,844,109","520,965","242,277",$0.07 ,$21.87 ,$47.02 ,"$13,069,800.76 ","185,927,563","594,683","274,177",$0.07 ,$21.98 ,$47.67 ,"$15,055,258.79 ","206,736,799","666,635","302,564",$0.07 ,$22.58 ,$49.76 ,"$16,245,062.03 ","222,802,554","714,918","318,685",$0.07 ,$22.72 ,$50.98 ,"$16,829,983.30 ","216,465,406","693,773","301,719",$0.08 ,$24.26 ,$55.78 ,6.54%,2.67%
Ammonium Lactate ,Ammonium Lactate ,Taro Pharm USA ,"$1,709,609.82 ","26,809,548","107,240","44,438",$0.06 ,$15.94 ,$38.47 ,"$1,924,025.86 ","27,623,136","99,257","45,360",$0.07 ,$19.38 ,$42.42 ,"$1,932,677.28 ","25,973,912","92,126","40,508",$0.08 ,$20.98 ,$47.71 ,"$1,970,995.75 ","26,313,071","96,197","43,402",$0.08 ,$20.49 ,$45.41 ,"$4,061,366.74 ","51,122,526","176,987","91,287",$0.08 ,$22.95 ,$44.49 ,5.35%,5.94%
Amnesteem ,Isotretinoin ,Mylan ,"$346,271.00 ","40,083",760,305,$8.96 ,$455.62 ,"$1,135.31 ","$676,585.69 ","81,610","1,647",598,$8.50 ,$410.80 ,"$1,131.41 ","$811,024.07 ","98,970","2,197",740,$8.18 ,$369.15 ,"$1,095.98 ","$630,570.47 ","86,634","1,919",666,$7.26 ,$328.59 ,$946.80 ,"$183,211.88 ","27,776",618,349,$6.59 ,$296.46 ,$524.96 ,-9.25%,-7.41%
Amoxapine ,Amoxapine ,Actavis Pharma ,"$780,114.97 ","1,049,694","14,648","2,146",$0.76 ,$53.26 ,$363.52 ,"$751,150.62 ","1,070,265","14,285","2,186",$0.73 ,$52.58 ,$343.62 ,"$854,378.89 ","1,023,663","13,672","2,100",$0.86 ,$62.49 ,$406.85 ,"$817,987.70 ","961,998","12,946","1,980",$0.87 ,$63.18 ,$413.13 ,"$749,675.66 ","911,338","12,156","1,933",$0.84 ,$61.67 ,$387.83 ,-3.66%,2.48%
Amoxicillin ,Amoxicillin ,Aurobindo Pharm ,"$2,337,768.33 ","9,686,703","424,702","311,404",$0.25 ,$5.50 ,$7.51 ,"$3,367,987.12 ","13,218,640","591,023","466,312",$0.26 ,$5.70 ,$7.22 ,"$4,779,711.70 ","18,454,060","839,986","669,165",$0.27 ,$5.69 ,$7.14 ,"$4,858,653.49 ","21,119,620","971,980","777,666",$0.24 ,$5.00 ,$6.25 ,"$4,827,233.02 ","20,394,427","942,741","746,831",$0.24 ,$5.12 ,$6.46 ,2.08%,-0.50%
Amoxicillin ,Amoxicillin ,Citron Pharma L ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$69,337.04 ","408,721","19,037","17,812",$0.16 ,$3.64 ,$3.89 ,"$2,487,865.16 ","8,427,188","374,094","312,828",$0.29 ,$6.65 ,$7.95 ,"$3,365,423.49 ","12,027,751","536,511","441,721",$0.28 ,$6.27 ,$7.62 ,-4.70%,32.69%
Amoxicillin ,Amoxicillin ,Dava Pharmaceut ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$57,814.56 ","498,163","22,436","20,586",$0.12 ,$2.58 ,$2.81 ,"$3,410,457.08 ","18,961,551","862,889","660,501",$0.18 ,$3.95 ,$5.16 ,55.07%,55.07%
Amoxicillin ,Amoxicillin ,Dr.Reddy'S Lab ,"$15,375.92 ","49,079","2,076","1,995",$0.34 ,$7.41 ,$7.71 ,"$314,937.47 ","1,192,246","53,521","43,005",$0.27 ,$5.88 ,$7.32 ,"$550,396.87 ","1,784,793","86,911","75,516",$0.31 ,$6.33 ,$7.29 ,"$92,949.59 ","455,709","20,560","18,074",$0.21 ,$4.52 ,$5.14 ,"$22,110.99 ","105,267","4,763","4,247",$0.22 ,$4.64 ,$5.21 ,2.04%,-10.47%
Amoxicillin ,Amoxicillin ,Northstar Rx Ll ,"$1,599,619.85 ","7,681,981","333,424","247,496",$0.21 ,$4.80 ,$6.46 ,"$2,012,565.74 ","9,511,842","418,692","306,076",$0.21 ,$4.81 ,$6.58 ,"$1,839,678.10 ","9,572,718","427,073","309,835",$0.19 ,$4.31 ,$5.94 ,"$1,631,294.36 ","9,180,337","415,472","303,190",$0.18 ,$3.93 ,$5.38 ,"$1,999,277.03 ","11,432,964","525,393","389,344",$0.17 ,$3.81 ,$5.13 ,-1.65%,-4.32%
Amoxicillin ,Amoxicillin ,Qualitest ,"$1,536,946.06 ","6,784,316","277,248","216,434",$0.23 ,$5.54 ,$7.10 ,"$1,493,713.49 ","6,279,863","258,174","201,689",$0.24 ,$5.79 ,$7.41 ,"$1,366,663.17 ","6,377,087","265,966","203,808",$0.21 ,$5.14 ,$6.71 ,"$1,260,391.06 ","6,766,520","286,682","229,073",$0.19 ,$4.40 ,$5.50 ,"$57,839.02 ","324,382","14,116","12,475",$0.18 ,$4.10 ,$4.64 ,-4.20%,-5.79%
Amoxicillin ,Amoxicillin ,Sandoz ,"$11,268,239.07 ","53,756,018","2,197,472","1,591,340",$0.22 ,$5.13 ,$7.08 ,"$12,896,426.15 ","63,449,304","2,605,090","1,884,428",$0.21 ,$4.95 ,$6.84 ,"$11,485,944.54 ","63,628,277","2,678,225","1,931,640",$0.19 ,$4.29 ,$5.95 ,"$9,709,868.00 ","59,271,142","2,535,427","1,811,975",$0.17 ,$3.83 ,$5.36 ,"$7,154,587.25 ","39,777,452","1,697,606","1,256,660",$0.19 ,$4.21 ,$5.69 ,9.27%,-4.14%
Amoxicillin ,Amoxicillin ,Teva USA ,"$4,662,372.25 ","21,225,314","754,986","559,914",$0.26 ,$6.18 ,$8.33 ,"$4,993,160.34 ","21,664,478","802,544","601,032",$0.27 ,$6.22 ,$8.31 ,"$7,055,630.37 ","34,484,735","1,371,098","1,021,297",$0.23 ,$5.15 ,$6.91 ,"$7,773,380.90 ","43,488,767","1,727,579","1,278,027",$0.20 ,$4.50 ,$6.08 ,"$8,678,229.66 ","48,393,810","1,972,949","1,463,468",$0.20 ,$4.40 ,$5.93 ,-0.39%,-7.05%
