Brand Name,Generic Name,Number of Manufacturers,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Cipro ,Ciprofloxacin HCl ,1,"$161,702.61 ","32,743","1,457",959,$4.95 ,$110.98 ,$168.62 ,"$200,554.00 ","39,083","1,868","1,243",$5.14 ,$107.36 ,$161.35 ,"$233,258.64 ","41,945","1,961","1,247",$5.57 ,$118.95 ,$187.06 ,"$165,770.63 ","30,329","1,335",815,$5.49 ,$124.17 ,$203.40 ,"$148,701.80 ","27,037","1,236",748,$5.50 ,$120.31 ,$198.80 ,0.03%,2.66%
Cipro HC ,Ciprofloxacin/Hydrocortisone ,1,"$4,175,249.50 ","266,806","26,456","23,054",$15.65 ,$157.82 ,$181.11 ,"$3,654,147.77 ","209,940","20,825","18,464",$17.41 ,$175.47 ,$197.91 ,"$3,316,116.01 ","172,519","17,112","15,113",$19.22 ,$193.79 ,$219.42 ,"$3,497,538.18 ","148,182","14,679","13,121",$23.60 ,$238.27 ,$266.56 ,"$3,402,908.64 ","132,552","13,060","11,638",$25.67 ,$260.56 ,$292.40 ,8.77%,13.17%
Ciprodex ,Ciprofloxacin HCl/Dexameth ,1,"$29,977,395.09 ","1,600,119","209,663","155,923",$18.73 ,$142.98 ,$192.26 ,"$35,413,793.23 ","1,775,817","232,503","173,301",$19.94 ,$152.32 ,$204.35 ,"$36,664,469.09 ","1,738,304","227,794","168,777",$21.09 ,$160.95 ,$217.24 ,"$39,578,917.53 ","1,677,368","220,226","164,700",$23.60 ,$179.72 ,$240.31 ,"$45,143,868.96 ","1,781,029","232,615","175,262",$25.35 ,$194.07 ,$257.58 ,7.42%,7.85%
Ciprofloxacin ,Ciprofloxacin ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$438,909.10 ","421,208","3,389","2,991",$1.05 ,$129.51 ,$146.74 ,"$231,482.59 ","223,999","1,933","1,795",$1.04 ,$119.75 ,$128.96 ,"$72,986.34 ","72,077",599,554,$1.02 ,$121.85 ,$131.74 ,-2.35%,-1.70%
Ciprofloxacin ER ,Ciprofloxacin/Ciprofloxa HCl ,1,"$240,576.56 ","30,255","2,834","2,463",$7.95 ,$84.89 ,$97.68 ,"$290,382.94 ","38,616","3,370","2,926",$7.51 ,$86.17 ,$99.24 ,"$392,280.69 ","51,599","4,442","3,882",$7.60 ,$88.31 ,$101.05 ,"$414,430.93 ","55,548","5,106","4,559",$7.47 ,$81.17 ,$90.90 ,"$390,849.55 ","56,557","4,940","4,394",$6.92 ,$79.12 ,$88.95 ,-7.42%,-3.43%
Ciprofloxacin HCl ,Ciprofloxacin HCl ,22,"$50,153,148.82 ","104,620,683","6,598,789","4,419,498",$0.57 ,$7.60 ,$11.35 ,"$49,893,453.41 ","111,299,778","7,083,063","4,780,086",$0.52 ,$7.04 ,$10.44 ,"$46,728,650.14 ","112,767,763","7,253,235","4,927,277",$0.48 ,$6.44 ,$9.48 ,"$51,875,619.78 ","113,681,633","7,396,905","5,059,654",$0.51 ,$7.01 ,$10.25 ,"$53,517,488.73 ","105,783,867","6,990,786","4,845,968",$0.58 ,$7.66 ,$11.04 ,13.88%,0.71%
Ciprofloxacin-D5W ,Ciprofloxacin Lactate/D5W ,5,"$280,295.00 ","8,217,525","4,823","2,199",$0.03 ,$58.12 ,$127.46 ,"$333,361.61 ","8,589,160","5,100","2,194",$0.04 ,$65.37 ,$151.94 ,"$345,159.94 ","7,849,310","4,820","2,034",$0.05 ,$71.61 ,$169.70 ,"$293,118.67 ","6,917,525","4,174","1,848",$0.04 ,$70.22 ,$158.61 ,"$235,614.89 ","6,301,995","3,857","1,666",$0.04 ,$61.09 ,$141.43 ,-8.69%,3.89%
Cisplatin ,Cisplatin ,2,"$26,228.03 ","74,820",484,179,$0.35 ,$54.19 ,$146.53 ,"$25,816.77 ","68,150",429,160,$0.38 ,$60.18 ,$161.35 ,"$40,778.85 ","102,638",712,234,$0.40 ,$57.27 ,$174.27 ,"$35,925.72 ","99,054",605,198,$0.36 ,$59.38 ,$181.44 ,"$37,307.87 ","116,304",668,226,$0.32 ,$55.85 ,$165.08 ,-11.69%,-2.21%
Citalopram HBr ,Citalopram Hydrobromide ,20,"$87,326,868.43 ","419,141,492","9,990,700","1,827,119",$0.21 ,$8.74 ,$47.79 ,"$87,431,777.00 ","446,262,017","10,294,587","1,899,472",$0.20 ,$8.49 ,$46.03 ,"$80,652,676.39 ","475,030,649","10,588,669","1,923,751",$0.17 ,$7.62 ,$41.92 ,"$72,143,415.01 ","483,964,195","10,488,438","1,893,516",$0.15 ,$6.88 ,$38.10 ,"$64,546,851.02 ","457,875,400","9,747,668","1,815,282",$0.14 ,$6.62 ,$35.56 ,-6.71%,-9.15%
Citranatal 90 DHA ,"PNV72/Iron,Gluc/Folic/DSS/DHA ",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$11,428.32 ","8,880",130,68,$1.29 ,$87.91 ,$168.06 ,"$34,777.84 ","24,300",369,161,$1.43 ,$94.25 ,$216.01 ,"$43,230.19 ","26,525",383,169,$1.63 ,$112.87 ,$255.80 ,13.88%,12.53%
Citranatal Assure ,"PNV73/Iron,Gluc/Folic/DSS/DHA ",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$9,559.05 ","7,800",92,50,$1.23 ,$103.90 ,$191.18 ,"$22,636.57 ","16,620",218,85,$1.36 ,$103.84 ,$266.31 ,"$21,813.32 ","13,890",193,82,$1.57 ,$113.02 ,$266.02 ,15.30%,13.20%
Citranatal DHA ,"PNV 76/Iron,Gluc/Folic/DSS/DHA ",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,298.56 ","1,920",24,14,$1.20 ,$95.77 ,$164.18 ,"$13,400.71 ","10,170",134,50,$1.32 ,$100.01 ,$268.01 ,"$18,479.47 ","12,450",153,53,$1.48 ,$120.78 ,$348.67 ,12.65%,11.35%
Citranatal Harmony ,"PNV59/Iron,Carb,Fum/FA/DSS/DHA ",1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,381.80 ","2,565",70,31,$2.49 ,$91.17 ,$205.86 ,"$14,623.76 ","5,340",139,52,$2.74 ,$105.21 ,$281.23 ,"$19,585.03 ","6,329",162,62,$3.09 ,$120.90 ,$315.89 ,13.00%,11.52%
Citranatal Rx ,Prenatal81/Iron/Folic/Docusate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,715.34 ","3,510",65,36,$1.91 ,$103.31 ,$186.54 ,"$9,797.20 ","4,567",83,36,$2.15 ,$118.04 ,$272.14 ,12.13%,12.13%
Claravis ,Isotretinoin ,1,"$1,839,872.49 ","182,690","4,023","1,279",$10.01 ,$457.34 ,"$1,438.52 ","$1,494,751.24 ","156,779","3,401","1,173",$9.43 ,$439.50 ,"$1,274.30 ","$888,877.01 ","100,439","2,188",868,$8.78 ,$406.25 ,"$1,024.05 ","$1,155,699.13 ","128,197","2,719",953,$8.92 ,$425.05 ,"$1,212.70 ","$1,344,181.45 ","174,220","3,809","1,323",$7.65 ,$352.90 ,"$1,016.01 ",-14.30%,-6.52%
Clarinex ,Desloratadine ,1,"$12,399,707.83 ","2,709,739","60,743","22,796",$4.69 ,$204.13 ,$543.94 ,"$3,136,093.04 ","710,574","13,478","3,800",$4.87 ,$232.68 ,$825.29 ,"$2,616,633.37 ","568,841","9,701","2,455",$5.08 ,$269.73 ,"$1,065.84 ","$2,402,019.87 ","503,932","8,064","1,915",$5.33 ,$297.87 ,"$1,254.32 ","$1,803,055.82 ","334,897","5,143","1,259",$6.24 ,$350.58 ,"$1,432.13 ",17.12%,7.42%
Clarinex-D 12 Hour ,Desloratadine/Pseudoephedrine ,1,"$513,830.49 ","153,271","2,629","1,443",$3.35 ,$195.45 ,$356.08 ,"$1,063,096.74 ","297,804","4,008","1,680",$3.57 ,$265.24 ,$632.80 ,"$1,215,027.20 ","313,285","4,096","1,602",$3.88 ,$296.64 ,$758.44 ,"$1,269,129.26 ","298,943","3,843","1,358",$4.25 ,$330.24 ,$934.56 ,"$1,189,935.53 ","267,613","3,288","1,148",$4.45 ,$361.90 ,"$1,036.53 ",4.74%,7.32%
Clarithromycin ,Clarithromycin ,9,"$30,628,447.35 ","8,625,250","341,802","281,447",$3.72 ,$89.61 ,$108.82 ,"$31,710,004.82 ","10,361,563","416,168","340,476",$3.17 ,$76.20 ,$93.13 ,"$24,924,281.81 ","9,984,994","398,251","324,623",$2.57 ,$62.58 ,$76.78 ,"$19,879,894.68 ","10,027,614","400,692","327,783",$2.03 ,$49.61 ,$60.65 ,"$14,074,480.56 ","8,310,228","330,875","274,064",$1.73 ,$42.54 ,$51.35 ,-14.94%,-17.47%
Clarithromycin ER ,Clarithromycin ,2,"$1,821,094.30 ","496,922","23,570","19,650",$3.66 ,$77.26 ,$92.68 ,"$1,202,249.49 ","330,624","16,085","13,420",$3.64 ,$74.74 ,$89.59 ,"$1,732,388.73 ","528,898","24,602","20,277",$3.28 ,$70.42 ,$85.44 ,"$2,634,522.34 ","777,828","36,494","29,046",$3.39 ,$72.19 ,$90.70 ,"$2,068,863.12 ","628,880","29,257","23,430",$3.29 ,$70.71 ,$88.30 ,-2.89%,-2.66%
Clemastine Fumarate ,Clemastine Fumarate ,2,"$363,472.89 ","1,295,000","22,385","5,883",$0.28 ,$16.24 ,$61.78 ,"$260,020.81 ","925,594","14,537","4,477",$0.28 ,$17.89 ,$58.08 ,"$219,237.97 ","707,812","10,799","3,355",$0.31 ,$20.30 ,$65.35 ,"$280,234.07 ","579,190","8,866","2,658",$0.48 ,$31.61 ,$105.43 ,"$218,512.69 ","448,541","6,797","2,282",$0.49 ,$32.15 ,$95.75 ,0.70%,14.78%
Cleocin ,Clindamycin Phosphate ,1,"$342,393.74 ","12,556","3,325","2,679",$27.27 ,$102.98 ,$127.81 ,"$392,086.80 ","13,528","3,486","2,829",$28.98 ,$112.47 ,$138.60 ,"$383,986.10 ","11,909","3,003","2,413",$32.24 ,$127.87 ,$159.13 ,"$270,185.27 ","7,381","1,884","1,514",$36.61 ,$143.41 ,$178.46 ,"$251,032.14 ","5,767","1,500","1,213",$43.53 ,$167.35 ,$206.95 ,18.91%,12.40%
Cleocin HCl ,Clindamycin HCl ,1,"$25,199.35 ","5,786",184,125,$4.53 ,$136.95 ,$201.59 ,"$21,091.65 ","4,674",151,117,$4.77 ,$139.68 ,$180.27 ,"$27,114.87 ","4,939",179,129,$5.58 ,$151.48 ,$210.19 ,"$24,644.84 ","4,564",144,96,$6.02 ,$171.14 ,$256.72 ,"$34,812.12 ","3,815",151,100,$9.69 ,$230.54 ,$348.12 ,60.98%,20.92%
Cleocin Phosphate ,Clindamycin Phosphate ,1,"$44,949.20 ","90,818",332,161,$0.49 ,$135.39 ,$279.19 ,"$63,385.43 ","131,310",451,191,$0.48 ,$140.54 ,$331.86 ,"$41,694.22 ","138,119",429,183,$0.30 ,$97.19 ,$227.84 ,"$22,703.42 ","107,692",353,140,$0.21 ,$64.32 ,$162.17 ,"$25,404.48 ","89,299",332,121,$0.28 ,$76.52 ,$209.95 ,34.94%,-12.93%
Cleocin Phosphate In D5W ,Clindamycin Phosphate/D5W ,1,"$69,236.36 ","239,455",531,216,$0.29 ,$130.39 ,$320.54 ,"$35,636.21 ","126,459",252,145,$0.28 ,$141.41 ,$245.77 ,"$20,499.88 ","49,143",150,72,$0.42 ,$136.67 ,$284.72 ,"$15,184.81 ","42,478",83,54,$0.36 ,$182.95 ,$281.20 ,"$9,819.72 ","23,654",52,32,$0.42 ,$188.84 ,$306.87 ,16.13%,9.46%
Cleocin T ,Clindamycin Phosphate ,1,"$6,817.37 ","5,010",82,36,$1.36 ,$83.14 ,$189.37 ,"$10,483.62 ","6,420",99,46,$1.63 ,$105.90 ,$227.90 ,"$8,777.31 ","4,860",73,37,$1.81 ,$120.24 ,$237.22 ,"$9,787.73 ","4,860",68,28,$2.01 ,$143.94 ,$349.56 ,"$10,419.01 ","4,080",57,19,$2.55 ,$182.79 ,$548.37 ,26.80%,17.04%
Clickfine ,"Pen Needle, Diabetic ",1,"$614,346.42 ","3,765,580","33,594","13,718",$0.16 ,$18.29 ,$44.78 ,"$1,144,089.37 ","6,381,341","56,161","21,764",$0.18 ,$20.37 ,$52.57 ,"$1,531,108.21 ","8,662,993","73,966","27,771",$0.18 ,$20.70 ,$55.13 ,"$1,620,492.04 ","9,563,532","79,115","30,052",$0.17 ,$20.48 ,$53.92 ,"$951,765.69 ","5,603,271","45,439","23,096",$0.17 ,$20.95 ,$41.21 ,0.26%,1.01%
Climara ,Estradiol ,1,"$3,590,552.10 ","268,723","30,184","8,250",$13.42 ,$118.96 ,$435.22 ,"$4,670,817.41 ","336,676","35,928","9,962",$13.92 ,$130.00 ,$468.86 ,"$5,386,012.64 ","349,964","36,465","10,097",$15.44 ,$147.70 ,$533.43 ,"$5,051,929.56 ","330,930","34,412","9,342",$15.33 ,$146.81 ,$540.78 ,"$4,832,527.02 ","312,566","32,167","8,544",$15.54 ,$150.23 ,$565.60 ,1.41%,3.73%
Climara Pro ,Estradiol/Levonorgestrel ,1,"$1,169,661.84 ","50,599","8,729","2,076",$23.12 ,$134.00 ,$563.42 ,"$1,357,719.81 ","51,710","8,563","1,994",$26.26 ,$158.56 ,$680.90 ,"$1,387,383.74 ","47,941","7,764","1,862",$28.94 ,$178.69 ,$745.10 ,"$1,333,155.01 ","42,440","6,944","1,672",$31.41 ,$191.99 ,$797.34 ,"$1,709,717.09 ","46,319","7,731","1,869",$36.91 ,$221.15 ,$914.78 ,17.51%,12.41%
Clindacin P ,Clindamycin Phosphate ,1,"$5,367.27 ","6,624",79,49,$0.81 ,$67.94 ,$109.54 ,"$4,856.15 ","7,728",107,53,$0.63 ,$45.38 ,$91.63 ,"$8,916.61 ","11,376",151,79,$0.78 ,$59.05 ,$112.87 ,"$2,330.54 ","5,880",78,52,$0.40 ,$29.88 ,$44.82 ,"$2,356.00 ","5,820",78,57,$0.40 ,$30.21 ,$41.33 ,2.13%,-15.93%
Clindagel ,Clindamycin Phosphate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$203,148.69 ","17,560",211,190,$11.57 ,$962.79 ,"$1,069.20 ","$1,043,176.81 ","67,370",830,645,$15.48 ,"$1,256.84 ","$1,617.33 ","$996,181.94 ","50,345",628,450,$19.79 ,"$1,586.28 ","$2,213.74 ",27.79%,30.78%
Clindamycin HCl ,Clindamycin HCl ,10,"$20,181,516.24 ","41,439,763","1,397,992","1,031,737",$0.51 ,$14.44 ,$19.56 ,"$20,642,742.95 ","47,346,387","1,625,480","1,200,123",$0.45 ,$12.70 ,$17.20 ,"$19,498,941.58 ","53,536,736","1,868,089","1,376,016",$0.37 ,$10.44 ,$14.17 ,"$19,547,957.48 ","62,635,002","2,195,365","1,602,599",$0.32 ,$8.90 ,$12.20 ,"$20,610,082.76 ","58,327,605","2,067,393","1,528,820",$0.36 ,$9.97 ,$13.48 ,13.13%,-8.01%
Clindamycin Palmitate HCl ,Clindamycin Palmitate HCl ,2,"$1,129,995.58 ","2,267,497","5,203","4,181",$0.50 ,$217.18 ,$270.27 ,"$993,140.67 ","2,120,674","5,106","4,065",$0.47 ,$194.50 ,$244.32 ,"$735,736.05 ","1,713,802","3,993","3,197",$0.43 ,$184.26 ,$230.13 ,"$770,767.16 ","1,876,553","4,441","3,525",$0.41 ,$173.56 ,$218.66 ,"$555,486.26 ","1,463,884","3,463","2,748",$0.38 ,$160.41 ,$202.14 ,-7.62%,-6.59%
Clindamycin Pediatric ,Clindamycin Palmitate HCl ,3,  ,  ,  ,  ,  ,  ,  ,"$267,987.43 ","574,936","1,246","1,046",$0.47 ,$215.08 ,$256.20 ,"$558,392.45 ","1,345,987","3,011","2,412",$0.41 ,$185.45 ,$231.51 ,"$559,724.78 ","1,437,379","3,240","2,635",$0.39 ,$172.75 ,$212.42 ,"$573,963.86 ","1,700,719","3,860","3,151",$0.34 ,$148.70 ,$182.15 ,-13.32%,-10.20%
Clindamycin Phos-Benzoyl Perox ,Clindamycin Phos/Benzoyl Perox ,2,"$131,410.82 ","38,245",799,565,$3.43 ,$164.47 ,$232.59 ,"$408,509.36 ","120,136","2,540","1,520",$3.40 ,$160.83 ,$268.76 ,"$425,338.44 ","134,722","2,850","1,595",$3.16 ,$149.24 ,$266.67 ,"$461,030.42 ","144,940","3,079","1,704",$3.18 ,$149.73 ,$270.56 ,"$436,419.52 ","158,636","3,356","1,846",$2.75 ,$130.04 ,$236.41 ,-13.53%,-5.39%
Clindamycin Phosphate ,Clindamycin Phosphate ,10,"$9,346,087.38 ","17,535,312","291,566","153,815",$0.55 ,$32.05 ,$60.76 ,"$21,621,554.78 ","19,305,322","324,333","174,150",$1.17 ,$66.66 ,$124.15 ,"$27,328,317.72 ","21,038,053","353,829","187,929",$1.35 ,$77.24 ,$145.42 ,"$29,259,222.30 ","22,273,352","368,240","195,539",$1.39 ,$79.46 ,$149.63 ,"$28,384,972.72 ","22,457,390","379,033","203,409",$1.32 ,$74.89 ,$139.55 ,-5.25%,24.19%
Clindamycin Phosphate-D5W ,Clindamycin Phosphate/D5W ,1,  ,  ,  ,  ,  ,  ,  ,"$45,562.66 ","213,128",406,185,$0.22 ,$112.22 ,$246.28 ,"$90,744.42 ","472,182",794,324,$0.19 ,$114.29 ,$280.08 ,"$91,817.39 ","427,816",826,370,$0.22 ,$111.16 ,$248.16 ,"$143,630.16 ","609,441","1,140",508,$0.24 ,$125.99 ,$282.74 ,9.13%,2.92%
Clindamycin-Benzoyl Peroxide ,Clindamycin Phos/Benzoyl Perox ,2,"$2,395,082.76 ","695,756","13,532","6,926",$3.44 ,$176.99 ,$345.81 ,"$3,338,228.49 ","807,196","15,981","8,306",$4.14 ,$208.89 ,$401.91 ,"$4,735,257.24 ","904,193","17,298","8,709",$5.24 ,$273.75 ,$543.72 ,"$5,567,162.72 ","886,355","17,377","8,312",$6.28 ,$320.38 ,$669.77 ,"$3,893,257.98 ","675,162","13,920","6,663",$5.73 ,$279.69 ,$584.31 ,-8.75%,13.59%
Clindesse ,Clindamycin Phosphate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$13,115.40 ",680,128,116,$19.29 ,$102.46 ,$113.06 ,"$85,543.07 ","4,120",741,605,$20.76 ,$115.44 ,$141.39 ,7.66%,7.66%
Clinimix ,Amino Acids 5 %/Dextrose 15 % ,1,"$2,071.95 ","49,362",11,  ,$0.04 ,$188.36 ,  ,"$7,052.29 ","152,229",35,  ,$0.05 ,$201.49 ,  ,"$59,457.97 ","528,849",190,16,$0.11 ,$312.94 ,"$3,716.12 ","$56,045.93 ","580,017",142,19,$0.10 ,$394.69 ,"$2,949.79 ","$50,338.90 ","500,665",152,14,$0.10 ,$331.18 ,"$3,595.64 ",4.05%,24.41%
Clinimix E ,Aa 5 %/Calcium/Lytes/Dext 15 % ,1,"$38,138.20 ","630,664",94,16,$0.06 ,$405.73 ,"$2,383.64 ","$30,713.09 ","681,474",115,31,$0.05 ,$267.07 ,$990.74 ,"$45,021.96 ","796,703",230,27,$0.06 ,$195.75 ,"$1,667.48 ","$85,423.98 ","1,855,759",260,36,$0.05 ,$328.55 ,"$2,372.89 ","$125,036.74 ","2,367,833",375,34,$0.05 ,$333.43 ,"$3,677.55 ",14.72%,-3.33%
Clinisol ,Parenteral Amino Acid 15% No.1 ,1,"$10,390,327.27 ","79,561,835","35,281","1,927",$0.13 ,$294.50 ,"$5,391.97 ","$1,948,803.37 ","22,547,099","11,279",655,$0.09 ,$172.78 ,"$2,975.27 ","$2,389,752.04 ","31,401,461","15,123","1,004",$0.08 ,$158.02 ,"$2,380.23 ","$2,736,421.69 ","38,156,121","20,129","1,190",$0.07 ,$135.94 ,"$2,299.51 ","$3,421,000.13 ","44,300,381","24,464","1,328",$0.08 ,$139.84 ,"$2,576.05 ",7.68%,-12.31%
Clinpro 5000 ,Sodium Fluoride ,1,"$6,088.84 ","44,370",322,214,$0.14 ,$18.91 ,$28.45 ,"$20,197.31 ","154,888","1,147",729,$0.13 ,$17.61 ,$27.71 ,"$16,098.03 ","164,546","1,242",738,$0.10 ,$12.96 ,$21.81 ,"$15,813.33 ","200,068","1,469",808,$0.08 ,$10.76 ,$19.57 ,"$21,866.62 ","288,854","2,043","1,099",$0.08 ,$10.70 ,$19.90 ,-4.22%,-13.82%
Clobetasol Emollient ,Clobetasol Propionate/Emoll ,4,"$1,635,058.53 ","2,763,867","47,616","27,495",$0.59 ,$34.34 ,$59.47 ,"$2,594,647.02 ","3,344,938","56,898","33,364",$0.70 ,$45.60 ,$77.77 ,"$4,775,686.31 ","3,607,016","61,948","37,176",$1.22 ,$77.09 ,$128.46 ,"$8,058,327.64 ","3,361,463","61,067","36,134",$2.33 ,$131.96 ,$223.01 ,"$7,416,388.32 ","3,109,114","58,504","33,872",$2.32 ,$126.77 ,$218.95 ,-0.11%,40.75%
Clobetasol Emulsion ,Clobetasol Propionate/Emoll ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$270,388.20 ","67,450",695,532,$4.01 ,$389.05 ,$508.25 ,"$1,391,487.90 ","322,600","3,409","2,286",$4.31 ,$408.18 ,$608.70 ,"$866,852.71 ","230,230","2,434","1,625",$3.77 ,$356.14 ,$533.45 ,-12.71%,-3.09%
Clobetasol Propionate ,Clobetasol Propionate ,8,"$47,127,051.97 ","81,322,160","1,432,968","723,234",$0.52 ,$32.89 ,$65.16 ,"$61,386,254.07 ","100,828,752","1,760,474","892,666",$0.54 ,$34.87 ,$68.77 ,"$165,255,637.03 ","110,312,488","1,944,277","994,485",$1.44 ,$85.00 ,$166.17 ,"$389,501,492.24 ","110,145,792","1,947,090","997,906",$3.56 ,$200.04 ,$390.32 ,"$335,857,229.74 ","107,779,740","1,904,565","962,041",$3.13 ,$176.34 ,$349.11 ,-12.22%,56.26%
Clobex ,Clobetasol Propionate ,1,"$9,102,822.08 ","2,271,721","19,879","11,194",$4.03 ,$457.91 ,$813.19 ,"$8,919,342.60 ","2,092,322","18,344","10,257",$4.27 ,$486.23 ,$869.59 ,"$8,477,159.64 ","1,620,549","15,114","8,268",$5.23 ,$560.88 ,"$1,025.30 ","$2,361,603.96 ","414,453","3,762","2,202",$5.72 ,$627.75 ,"$1,072.48 ","$1,151,129.27 ","333,012","3,018","1,730",$3.44 ,$381.42 ,$665.39 ,-39.85%,-3.90%
Clocortolone Pivalate ,Clocortolone Pivalate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,021,886.85 ","179,997","2,898","2,242",$5.68 ,$352.62 ,$455.79 ,"$1,278,799.29 ","233,780","3,752","2,693",$5.47 ,$340.83 ,$474.86 ,"$660,717.37 ","124,246","1,998","1,419",$5.32 ,$330.69 ,$465.62 ,-2.78%,-3.22%
Clodan ,Clobetasol Propionate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$8,272.23 ","4,610",38,36,$1.79 ,$217.69 ,$229.78 ,"$40,356.30 ","18,294",138,91,$2.21 ,$292.44 ,$443.48 ,"$24,878.74 ","12,272",93,60,$2.03 ,$267.51 ,$414.65 ,-8.10%,6.29%
Cloderm ,Clocortolone Pivalate ,1,"$691,106.68 ","168,607","2,736","1,985",$4.10 ,$252.60 ,$348.16 ,"$1,301,228.65 ","255,860","3,924","2,856",$5.09 ,$331.61 ,$455.61 ,"$1,158,215.72 ","177,862","2,690","2,049",$6.51 ,$430.56 ,$565.26 ,"$427,273.30 ","61,966",951,642,$6.90 ,$449.29 ,$665.53 ,"$171,018.94 ","23,985",359,243,$7.13 ,$476.38 ,$703.78 ,3.41%,14.84%
Clomipramine HCl ,Clomipramine HCl ,4,"$4,187,825.46 ","10,552,698","137,417","17,638",$0.40 ,$30.48 ,$237.43 ,"$42,219,698.89 ","10,734,453","142,158","18,726",$3.94 ,$296.99 ,"$2,254.60 ","$79,334,345.10 ","9,892,342","135,791","17,991",$8.02 ,$584.24 ,"$4,409.67 ","$73,845,424.51 ","9,436,288","132,040","16,554",$7.84 ,$559.27 ,"$4,460.88 ","$76,011,636.19 ","10,879,732","135,761","17,460",$7.06 ,$559.89 ,"$4,353.47 ",-9.94%,105.33%
Clonazepam ,Clonazepam ,13,"$7,044,701.48 ","40,978,536","631,707","117,189",$0.17 ,$11.15 ,$60.11 ,"$73,460,375.59 ","546,259,290","8,921,902","1,394,439",$0.14 ,$8.23 ,$52.68 ,"$73,093,590.91 ","601,067,956","9,815,698","1,488,867",$0.12 ,$7.45 ,$49.09 ,"$67,762,493.88 ","616,791,924","10,134,503","1,523,041",$0.11 ,$6.69 ,$44.49 ,"$85,991,779.40 ","612,583,893","10,090,104","1,526,866",$0.14 ,$8.52 ,$56.32 ,27.00%,-4.67%
Clonidine ,Clonidine ,3,"$87,885,772.50 ","2,307,344","469,514","93,715",$37.76 ,$187.18 ,$937.80 ,"$104,248,401.33 ","2,829,208","556,722","108,870",$36.43 ,$187.25 ,$957.55 ,"$97,643,889.35 ","2,830,317","550,355","105,186",$34.09 ,$177.42 ,$928.30 ,"$90,217,205.57 ","2,798,344","534,436","102,728",$31.82 ,$168.81 ,$878.21 ,"$82,745,754.67 ","2,878,462","540,134","104,341",$28.41 ,$153.19 ,$793.03 ,-10.73%,-6.87%
Clonidine HCl ,Clonidine HCl ,13,"$39,760,509.84 ","374,671,378","4,369,991","859,389",$0.11 ,$9.10 ,$46.27 ,"$44,767,585.86 ","394,161,110","4,657,268","928,612",$0.11 ,$9.61 ,$48.21 ,"$41,886,260.71 ","415,710,373","4,705,924","963,500",$0.10 ,$8.90 ,$43.47 ,"$37,893,290.72 ","418,383,348","4,750,593","978,421",$0.09 ,$7.98 ,$38.73 ,"$38,601,867.71 ","416,940,843","4,625,749","979,212",$0.09 ,$8.34 ,$39.42 ,2.28%,-3.51%
Clonidine HCl ER ,Clonidine HCl ,3,  ,  ,  ,  ,  ,  ,  ,"$72,044.04 ","20,360",280,190,$3.54 ,$257.30 ,$379.18 ,"$977,503.76 ","288,950","3,823","1,374",$3.38 ,$255.69 ,$711.43 ,"$1,566,348.25 ","469,387","5,901","1,739",$3.34 ,$265.44 ,$900.72 ,"$1,913,637.81 ","593,073","7,393","2,160",$3.23 ,$258.84 ,$885.94 ,-3.28%,-3.01%
